rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
21,Louisville,Louisville,11.0551420749481,10.041757017779,21.0968990927271,-10.9800201143066,-9.83208128997819,23,21,69.5527287285148,97,358,0.571428571428571,0.314285714285714,0.257142857142857,20,11,27,8,#FFCF92,#FFCB89,#FFC781,#C4DFD8,#DEDEBD,Louisville performs at a similar level against both good and bad teams.,Louisville performs at a similar level regardless of the pace of the game.
22,Kentucky,Kentucky,13.9056144123134,7.1760653961887,21.0816798085021,-35.6018427630902,-33.8982413030029,14,48,71.2237517817164,35,32,0.722222222222222,0.361111111111111,0.361111111111111,26,13,24,12,#FFC276,#FFD9AB,#FFC781,#6591BF,#B7CAC0,Kentucky plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Kentucky plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
23,UCLA,UCLA,9.81045941877035,10.9553995458518,20.7658589646221,-27.0796626318464,-27.3100735430067,35,17,65.8859518410848,308,17,0.970588235294118,0.382352941176471,0.588235294117647,33,13,23,11,#FFD49F,#FFC67E,#FFC883,#7EADC9,#C1CFBF,UCLA plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,UCLA plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
24,Illinois,Illinois,13.7181006762833,6.72630919798204,20.4444098742654,-99.009900990099,7.64531156072215,15,52,71.4121175629664,26,233,0.714285714285714,0.514285714285714,0.2,25,18,22,13,#FFC378,#FFDCB0,#FFC985,#00429D,#F0DFB4,Illinois plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Illinois performs at a similar level regardless of the pace of the game.
25,Texas A&M,Texas A&M,9.1798496108742,11.0115623654051,20.1914119762793,-12.3109144959339,-79.0062230325478,41,16,67.5605766317562,216,46,0.794117647058823,0.264705882352941,0.529411764705882,27,9,23,11,#FFD7A5,#FFC67E,#FFCA87,#BDDBD7,#70A6C7,Texas A&M plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Texas A&M plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
26,Saint Mary's,Saint Mary's,7.0904179193097,12.7497598947228,19.8401778140325,15.2187134426135,-48.6551317392199,62,10,63.1490782622601,359,345,0.764705882352941,0.235294117647059,0.529411764705882,26,8,28,6,#FFE0B9,#FFBD69,#FFCA89,#FFCCBB,#9EBDC2,Saint Mary's performs at a similar level against both good and bad teams.,Saint Mary's plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
27,Baylor,Baylor,13.4175721159819,6.35225748672421,19.7698296027061,-65.7827584921863,6.34850415671398,16,54,65.5110648673374,326,37,0.5,0.294117647058824,0.205882352941176,17,10,19,15,#FFC47B,#FFDEB4,#FFCB89,#00429D,#F0E0B6,Baylor plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Baylor performs at a similar level regardless of the pace of the game.
28,Michigan,Michigan,8.3669168103678,11.2886266078092,19.655543418177,-22.3470126049201,46.2499126478535,52,15,70.5908737783182,54,268,0.810810810810811,0.405405405405405,0.405405405405405,30,15,27,10,#FFDAAD,#FFC47A,#FFCB8A,#8DBDCF,#F7B891,Michigan plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Michigan plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
29,Missouri,Missouri,14.7505211154051,4.29662432912114,19.0471454445263,8.75812262357103,-11.6915154489682,11,85,69.2202487398629,119,75,0.852941176470588,0.205882352941176,0.647058823529412,29,7,22,12,#FFBF6E,#FFE8CC,#FFCD8E,#FFE2CA,#DBDDBD,Missouri performs at a similar level against both good and bad teams.,Missouri performs at a similar level regardless of the pace of the game.
30,Creighton,Creighton,10.8261074093817,8.08374599480277,18.9098534041844,11.3078925940545,-43.9186511890555,25,40,68.2370771911811,180,115,0.611111111111111,0.472222222222222,0.138888888888889,22,17,25,11,#FFD095,#FFD5A0,#FFCD8E,#FFD9C4,#A6C1C2,Creighton performs at a similar level against both good and bad teams.,Creighton plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
31,Ole Miss,Ole Miss,10.5765240390801,8.33086352242318,18.9073875615033,35.2168195433161,-45.1008843155216,28,37,68.9090786483863,132,174,0.472222222222222,0.305555555555556,0.166666666666667,17,11,24,12,#FFD197,#FFD39D,#FFCD8E,#F48A8D,#A4C0C2,Ole Miss plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Ole Miss plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
32,VCU,VCU,8.44612941283132,10.4521931575089,18.8983225703402,-11.3020013928324,-21.6899745816434,50,19,67.4149239089795,227,83,0.735294117647059,0.264705882352941,0.470588235294118,25,9,27,7,#FFDAAC,#FFC884,#FFCD8E,#C3DED8,#CBD4BF,VCU performs at a similar level against both good and bad teams.,VCU performs at a similar level regardless of the pace of the game.
33,Marquette,Marquette,8.82595108941898,10.0676225712953,18.8935736607143,-21.3624645400564,-6.53766763213443,46,20,68.7741630828909,141,122,0.794117647058823,0.323529411764706,0.470588235294118,27,11,23,11,#FFD8A8,#FFCA89,#FFCD8E,#90C0D0,#E4E1BC,Marquette plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Marquette performs at a similar level regardless of the pace of the game.
34,Arkansas,Arkansas,7.92344849032419,10.8139314106198,18.737379900944,-0.358990712168922,79.0749943440943,55,18,69.7893807432443,86,113,0.527777777777778,0.472222222222222,0.0555555555555556,19,17,22,14,#FFDCB1,#FFC780,#FFCD8F,#FDFDDF,#FD9773,Arkansas performs at a similar level against both good and bad teams.,Arkansas plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
35,Oregon,Oregon,8.92047853921696,9.71179083103414,18.6322693702511,-8.00296381341585,-20.7875578420579,44,24,68.7507409616797,144,139,0.571428571428571,0.314285714285714,0.257142857142857,20,11,25,10,#FFD8A7,#FFCC8D,#FFCE90,#D4E7DA,#CCD5BE,Oregon performs at a similar level against both good and bad teams.,Oregon performs at a similar level regardless of the pace of the game.
36,New Mexico,New Mexico,6.58230287327731,11.5644717592632,18.1467746325405,89.1188733376799,19.7049851808448,69,13,73.0374784148454,7,253,0.735294117647059,0.323529411764706,0.411764705882353,25,11,26,8,#FFE2BE,#FFC377,#FFCF93,#93003A,#F2D3A9,New Mexico plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,New Mexico performs at a similar level regardless of the pace of the game.
37,Mississippi State,Mississippi State,10.2011049220416,7.81267348107676,18.0137784031183,-31.1187925827904,-14.0403235953632,30,42,69.2289057563719,116,218,0.529411764705882,0.441176470588235,0.0882352941176471,18,15,21,13,#FFD29B,#FFD6A3,#FFCF94,#72A0C4,#D7DBBE,Mississippi State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Mississippi State performs at a similar level regardless of the pace of the game.
38,Xavier,Xavier,10.1260168057036,6.99559574180437,17.121612547508,-11.8485700031708,-2.0112810895028,32,50,69.5832240425393,95,92,0.617647058823529,0.352941176470588,0.264705882352941,21,12,22,12,#FFD39B,#FFDAAD,#FFD299,#C0DCD7,#EBE5BC,Xavier performs at a similar level against both good and bad teams.,Xavier performs at a similar level regardless of the pace of the game.
39,Ohio State,Ohio State,11.1098744429638,5.7773891910048,16.8872636339686,-60.9590796535432,36.4159511657125,22,61,67.4948118819777,222,165,0.4375,0.40625,0.03125,14,13,17,15,#FFCE92,#FFE1BB,#FFD29A,#00429D,#F5C29A,Ohio State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Ohio State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
40,Colorado State,Colorado State,8.60281254177772,7.36119713812633,15.9640096799041,24.3762973867453,-63.651348542299,47,46,67.0115921390993,249,58,0.555555555555556,0.416666666666667,0.138888888888889,20,15,26,10,#FFD9AA,#FFD8A8,#FFD5A0,#FFAEA4,#86B1C5,Colorado State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Colorado State plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
41,Memphis,Memphis,6.87022440507702,9.03652865364888,15.9067530587259,82.4738699045291,3.82666953711741,66,29,71.4721289065832,25,267,0.657142857142857,0.2,0.457142857142857,23,7,29,6,#FFE1BB,#FFD095,#FFD5A0,#93003A,#EFE3B8,Memphis plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Memphis performs at a similar level regardless of the pace of the game.
42,Texas,Texas,10.041880650965,5.77371509106838,15.8155957420334,-86.0547306917929,-2.01069604850188,33,62,68.2958895785675,174,252,0.8,0.314285714285714,0.485714285714286,28,11,19,16,#FFD39C,#FFE1BB,#FFD5A1,#00429D,#EBE5BC,Texas plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Texas performs at a similar level regardless of the pace of the game.
43,Georgia,Georgia,7.4181861168781,8.35238929461559,15.7705754114937,-34.3873071841719,9.63463480156311,58,35,67.4005695836021,229,40,0.696969696969697,0.545454545454545,0.151515151515152,23,18,20,13,#FFDEB6,#FFD39D,#FFD5A1,#6995C0,#F0DDB3,Georgia plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Georgia performs at a similar level regardless of the pace of the game.
44,UC San Diego,UC San Diego,7.32271105923507,8.34159526785714,15.6643063270922,-6.52925551124284,-8.8624116281225,60,36,66.832786761701,267,245,1.06060606060606,0.303030303030303,0.757575757575758,35,10,28,5,#FFDFB7,#FFD39D,#FFD5A2,#DCECDB,#E0DFBD,UC San Diego performs at a similar level against both good and bad teams.,UC San Diego performs at a similar level regardless of the pace of the game.
45,Cincinnati,Cincinnati,5.35823174439796,9.78527048015199,15.1435022245499,-66.3334997284991,66.5730656708891,77,23,66.6479322164979,280,116,0.542857142857143,0.285714285714286,0.257142857142857,19,10,19,16,#FFE7CA,#FFCC8C,#FFD7A5,#00429D,#FAA47E,Cincinnati plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Cincinnati plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
46,Indiana,Indiana,6.64315829116732,8.49115452176765,15.134312812935,-19.9197989671709,-53.8088486351404,67,33,68.9350345911556,130,95,0.71875,0.59375,0.125,23,19,19,13,#FFE2BE,#FFD39B,#FFD7A5,#95C5D2,#96B9C3,Indiana plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Indiana plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
47,Villanova,Villanova,11.0041335028545,4.01244296357069,15.0165764664252,-4.00232239350562,-33.0768950777755,24,89,64.4479698294243,353,33,0.527777777777778,0.388888888888889,0.138888888888889,19,14,21,15,#FFCF93,#FFEAD0,#FFD7A5,#E9F3DD,#B8CBC0,Villanova performs at a similar level against both good and bad teams.,Villanova plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
48,Northwestern,Northwestern,6.9205100514777,7.70963081978047,14.6301408712582,7.18334439011129,-13.9531847454539,63,44,65.9256118463153,307,260,0.606060606060606,0.272727272727273,0.333333333333333,20,9,17,16,#FFE1BB,#FFD7A4,#FFD8A8,#FFE7CE,#D7DBBD,Northwestern performs at a similar level against both good and bad teams.,Northwestern performs at a similar level regardless of the pace of the game.
49,Boise State,Boise State,9.10982640951003,5.44705391450221,14.5568803240122,-23.4322727248352,44.2491579834075,43,65,66.5109751129098,284,12,0.638888888888889,0.222222222222222,0.416666666666667,23,8,25,11,#FFD7A5,#FFE2BF,#FFD8A8,#89B9CE,#F6BA93,Boise State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Boise State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
50,Oklahoma,Oklahoma,9.24048462533712,4.95702791162264,14.1975125369598,8.71136315599663,-8.94066394225301,40,74,69.3097855792511,112,66,0.5,0.176470588235294,0.323529411764706,17,6,20,14,#FFD7A4,#FFE5C4,#FFD9AA,#FFE2CA,#E0DFBD,Oklahoma performs at a similar level against both good and bad teams.,Oklahoma performs at a similar level regardless of the pace of the game.
51,Yale,Yale,9.74901271633192,4.31602030969804,14.06503302603,17.3416146413991,-9.2674066041433,36,84,68.2644785971292,177,52,1.06896551724138,0.344827586206897,0.724137931034483,31,10,21,8,#FFD49F,#FFE8CC,#FFDAAB,#FFC5B5,#DFDFBD,Yale plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Yale performs at a similar level regardless of the pace of the game.
52,Nebraska,Nebraska,6.90497265485075,7.04945347651719,13.9544261313679,-12.69377434787,-11.6800891935205,64,49,68.5926494065121,150,162,0.6,0.342857142857143,0.257142857142857,21,12,21,14,#FFE1BB,#FFDAAC,#FFDAAC,#BBDAD7,#DBDDBD,Nebraska plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Nebraska performs at a similar level regardless of the pace of the game.
53,West Virginia,West Virginia,1.8711695649864,11.8727838801864,13.7439534451728,-19.3521584250437,17.4488140002604,123,12,65.3715385263193,331,57,0.65625,0.5625,0.09375,21,18,19,13,#FFF6EC,#FFC174,#FFDAAD,#98C6D2,#F2D5AB,West Virginia plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,West Virginia performs at a similar level regardless of the pace of the game.
54,Drake,Drake,5.91238494019354,7.80641831805174,13.7188032582453,80.7067448154439,9.81005800412259,71,43,60.4542153451493,364,316,0.484848484848485,0.212121212121212,0.272727272727273,16,7,29,4,#FFE5C5,#FFD6A3,#FFDBAD,#95023B,#F0DDB2,Drake plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Drake performs at a similar level regardless of the pace of the game.
55,USC,USC,9.59335917043322,4.11934194841152,13.7127011188447,-42.4225633586448,29.3107754881203,38,88,68.9348011865817,131,76,0.342857142857143,0.428571428571429,-0.0857142857142857,12,15,17,18,#FFD5A1,#FFE9CE,#FFDBAD,#4E7BB6,#F4C9A1,USC plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,USC plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
56,SMU,SMU,8.3221511156759,5.20593189891295,13.5280830145889,-65.6963885435422,41.5324627330202,53,71,69.8569839482356,80,332,0.942857142857143,0.142857142857143,0.8,33,5,24,11,#FFDBAD,#FFE4C2,#FFDBAE,#00429D,#F6BD95,SMU plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,SMU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
57,Vanderbilt,Vanderbilt,9.13511644585705,4.32231442157469,13.4574308674317,-50.0871390507422,-43.8912150531717,42,83,70.1706006198361,65,82,0.575757575757576,0.575757575757576,0,19,19,20,13,#FFD7A5,#FFE8CC,#FFDBAF,#2E64AC,#A6C1C2,Vanderbilt plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Vanderbilt plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
58,Pittsburgh,Pittsburgh,8.30897210193302,4.92490162505797,13.233873726991,-33.2194553418211,41.9540762923659,54,75,67.3706669310488,232,6,0.6875,0.3125,0.375,22,10,17,15,#FFDBAD,#FFE5C5,#FFDCB0,#6C99C2,#F6BC95,Pittsburgh plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Pittsburgh plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
59,McNeese State,McNeese State,6.8716472904451,5.99544837143523,12.8670956618803,-11.7426761387396,57.7706245971106,65,58,66.6058153045499,281,217,1.09090909090909,0.333333333333333,0.757575757575758,36,11,26,7,#FFE1BB,#FFDFB8,#FFDDB2,#C0DCD7,#F9AD86,McNeese State performs at a similar level against both good and bad teams.,McNeese State plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
60,Kansas State,Kansas State,3.49061745598837,9.29771848858667,12.788335944575,50.9694044886955,68.3898221617643,100,27,67.968888381809,200,231,0.545454545454545,0.424242424242424,0.121212121212121,18,14,16,17,#FFEFDC,#FFCE92,#FFDDB3,#E1576C,#FBA27D,Kansas State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Kansas State plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
61,Santa Clara,Santa Clara,8.47398902359707,4.18953991005986,12.6635289336569,-32.3502105742018,28.5844751145431,48,87,69.6617988912327,94,256,0.764705882352941,0.441176470588235,0.323529411764706,26,15,21,13,#FFDAAC,#FFE9CD,#FFDDB3,#6F9CC3,#F4CAA1,Santa Clara plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Santa Clara plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
62,Iowa,Iowa,12.4201273707356,0.0817566306632063,12.5018840013988,-58.7263369180281,24.964474037049,19,171,70.7023028384861,50,87,0.393939393939394,0.454545454545455,-0.0606060606060606,13,15,17,16,#FFC985,#FFFEFE,#FFDEB4,#0A49A0,#F3CDA5,Iowa plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Iowa performs at a similar level regardless of the pace of the game.
63,Wake Forest,Wake Forest,3.01926133820476,8.79248082022921,11.811742158434,55.1839667424781,-42.435772177996,108,30,68.0669188505598,192,236,0.625,0.34375,0.28125,20,11,21,11,#FFF1E1,#FFD198,#FFE0B8,#DA4963,#A9C3C2,Wake Forest plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Wake Forest plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
