rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
11,Michigan State,Michigan State,10.8566342182756,13.5002774805267,24.3569116988023,28.6585696412316,-50.9298005526279,38,10,67.3499729,266,11,9,19,0.730769230769231,0.153846153846154,0.576923076923077,19,4,21,5,#FFC986,#FFB457,#FFBF6E,#F89392,#9DBDC3,Michigan State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Michigan State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
12,Texas Tech,Texas Tech,14.2044760895366,10.1169638788905,24.321439968427,38.0732235543864,-6.88116692492915,16,21,68.28548975,212,12,58,18,0.730769230769231,0.346153846153846,0.384615384615385,19,9,19,7,#FFB961,#FFC781,#FFBF6E,#EA707C,#E3E1BC,Texas Tech plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Texas Tech performs at a similar level regardless of the pace of the game.
13,Vanderbilt,Vanderbilt 🤕,14.9526775986,9.29000671030133,24.2426843089013,14.7234764226705,2.64510452930854,12,25,70.7915654,67,21,176,11,0.92,0.16,0.76,23,4,21,4,#FFB559,#FFCB8B,#FFBF6F,#FFC7B7,#EFE3B9,Vanderbilt plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Vanderbilt performs at a similar level regardless of the pace of the game.
14,Kansas,Kansas,10.3337815674867,13.8827930093333,24.21657457682,6.45273328269609,-5.42491429385597,41,9,68.462981895,203,13,7,16,0.52,0.28,0.24,13,7,19,6,#FFCC8C,#FFB252,#FFBF6F,#FFE6CE,#E6E2BC,Kansas performs at a similar level against both good and bad teams.,Kansas performs at a similar level regardless of the pace of the game.
15,Nebraska,Nebraska,9.40430392691848,14.5543397086351,23.9586436355536,57.7412988248078,-26.096427965541,48,6,68.23569065,214,14,225,32,1,0.307692307692308,0.692307692307692,26,8,22,4,#FFD096,#FFAF4A,#FFC070,#BD2C52,#C5D1BF,Nebraska plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Nebraska performs at a similar level regardless of the pace of the game.
16,Arkansas,Arkansas,15.9487813066,7.99989828356933,23.9486795901693,-7.595484731615,6.80855186135707,8,35,71.5216302,34,15,79,13,0.92,0.2,0.72,23,5,19,6,#FFB04E,#FFD39B,#FFC070,#DEEDDB,#F0DFB4,Arkansas performs at a similar level against both good and bad teams.,Arkansas performs at a similar level regardless of the pace of the game.
17,Louisville,Louisville,13.9788900375737,9.82368304994251,23.8025730875162,-92.6176928976037,42.9111676581,18,23,71.6679504,31,16,19,9,1.03846153846154,0.269230769230769,0.769230769230769,27,7,19,7,#FFBA64,#FFC984,#FFC071,#00429D,#F7B58E,Louisville plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Louisville plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
18,St. John's,St. John's,11.607315471,12.1102950505737,23.7176105215737,-11.7634951844196,-23.6100105652616,30,15,71.2701168,44,18,277,14,0.68,0.12,0.56,17,3,20,5,#FFC67E,#FFBC68,#FFC072,#CCE3D9,#C9D3BF,St. John's performs at a similar level against both good and bad teams.,St. John's performs at a similar level regardless of the pace of the game.
19,Virginia,Virginia,12.1543256142281,11.5369576270377,23.6912832412658,51.759766668905,-39.6104778602539,24,18,66.84516375,297,17,106,25,1.04,0.2,0.84,26,5,22,3,#FFC378,#FFBF6F,#FFC072,#D03F5D,#AFC6C1,Virginia plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Virginia plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
20,Tennessee,Tennessee,11.253773517805,12.1711957678834,23.4249692856884,-33.7626168743307,-19.2220486543304,35,14,66.97761665,291,19,20,22,0.64,0.16,0.48,16,4,18,7,#FFC782,#FFBC67,#FFC174,#7DACC9,#D0D7BE,Tennessee plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Tennessee performs at a similar level regardless of the pace of the game.
21,Alabama,Alabama,16.1674411838914,6.95628085014036,23.1237220340317,-60.1478185918419,12.7655584342319,7,45,75.1103735,1,20,241,15,0.44,0.4,0.04,11,10,18,7,#FFAF4B,#FFD8A8,#FFC275,#3367AD,#F1D8AE,Alabama plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Alabama performs at a similar level regardless of the pace of the game.
22,Saint Louis,Saint Louis,11.8715569562667,10.1760562309749,22.0476131872417,24.85751090252,-44.5743186328525,28,20,72.87736095,12,22,52,44,1.36,0.12,1.24,34,3,23,2,#FFC47B,#FFC780,#FFC57C,#FDA19B,#A7C2C2,Saint Louis plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Saint Louis plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
23,Utah State,Utah State 💥,14.1379542038315,6.96559994171532,21.1035541455468,21.2177492186986,-20.6573337215844,17,44,69.080395765,164,23,214,42,0.708333333333333,0.25,0.458333333333333,17,6,21,3,#FFB962,#FFD8A8,#FFC781,#FFAEA5,#CDD6BE,Utah State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Utah State performs at a similar level regardless of the pace of the game.
24,NC State,NC State,12.8354379355996,8.10171351756482,20.9371514531645,-60.7237427457184,-44.6861962922617,23,34,70.31434755,88,24,114,23,0.962962962962963,0.407407407407407,0.555555555555556,26,11,19,8,#FFC070,#FFD29A,#FFC882,#3166AD,#A7C2C2,NC State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,NC State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
25,Texas,Texas,16.2093655600249,4.49190400645293,20.7012695664779,15.1745010596869,8.91266599897755,6,74,68.1513346,221,25,228,30,0.4,0.24,0.16,10,6,16,9,#FFAF4B,#FFE6C7,#FFC884,#FFC5B6,#F0DCB2,Texas plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Texas performs at a similar level regardless of the pace of the game.
26,Kentucky,Kentucky,11.4812764470073,8.81628186550506,20.2975583125124,-74.8354756782026,4.96208641211446,31,29,69.7447167,125,27,66,20,0.692307692307692,0.269230769230769,0.423076923076923,18,7,17,9,#FFC67F,#FFCE91,#FFC986,#00429D,#F0E1B6,Kentucky plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Kentucky performs at a similar level regardless of the pace of the game.
27,Ohio State,Ohio State 🔒🤕,14.2674383934,5.60159837050107,19.8690367639011,-40.2347127057941,-17.9539216110998,14,58,68.16875,219,39,124,21,0.576923076923077,0.346153846153846,0.230769230769231,15,9,17,9,#FFB961,#FFE0B9,#FFCA89,#6D9BC2,#D2D8BE,Ohio State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Ohio State performs at a similar level regardless of the pace of the game.
28,Iowa,Iowa 🥶,11.9776343048572,7.79375201809593,19.7713863229532,-54.6135303431128,-2.7324306280139,26,37,65.2304667,353,26,199,28,0.769230769230769,0.461538461538462,0.307692307692308,20,12,19,7,#FFC47A,#FFD49E,#FFCB89,#4675B3,#EAE4BC,Iowa plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Iowa performs at a similar level regardless of the pace of the game.
29,Wisconsin,Wisconsin,13.6155081547531,5.68384953071613,19.2993576854692,18.962253002983,8.99664368534298,21,55,69.63683305,134,28,119,36,0.769230769230769,0.269230769230769,0.5,20,7,18,8,#FFBC68,#FFDFB8,#FFCC8C,#FFB7AB,#F0DCB2,Wisconsin plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Wisconsin performs at a similar level regardless of the pace of the game.
30,Villanova,Villanova 🔒,10.7040176561053,8.46184299672312,19.1658606528284,-11.5914939483083,-39.9998451195384,39,32,66.2326237,323,29,235,47,0.5,0.346153846153846,0.153846153846154,13,9,21,5,#FFCA88,#FFD095,#FFCC8D,#CCE3D9,#AEC6C1,Villanova performs at a similar level against both good and bad teams.,Villanova plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
31,SMU,SMU,13.7273526673232,5.35010385206964,19.0774565193929,-3.25485958555388,58.5264897916661,20,62,70.78703655,68,30,147,29,0.730769230769231,0.307692307692308,0.423076923076923,19,8,18,8,#FFBB67,#FFE1BC,#FFCC8D,#F0F7DE,#FAA37E,SMU performs at a similar level against both good and bad teams.,SMU plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
32,Saint Mary's,Saint Mary's,8.659171620137,10.3604276026877,19.0195992228247,-31.1618874639681,-39.0115902609205,53,19,66.45387395,315,31,57,48,0.653846153846154,0.153846153846154,0.5,17,4,22,4,#FFD49F,#FFC67E,#FFCD8E,#84B3CB,#B0C7C1,Saint Mary's plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Saint Mary's plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
33,North Carolina,North Carolina 🤕,11.3228727653898,7.64430722202271,18.9671799874125,-22.7902808951533,17.4196421596934,34,39,69.339323,151,51,4,31,0.692307692307692,0.307692307692308,0.384615384615385,18,8,20,6,#FFC781,#FFD59F,#FFCD8E,#9CC9D3,#F2D2A9,North Carolina plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,North Carolina performs at a similar level regardless of the pace of the game.
34,Auburn,Auburn 🤕,15.1459206215704,3.77339245750484,18.9193130790753,-21.750423352443,-18.1667930997459,11,85,68.717775325,186,41,62,26,0.52,0.44,0.08,13,11,14,11,#FFB457,#FFEAD0,#FFCD8E,#A1CBD3,#D1D8BE,Auburn plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Auburn performs at a similar level regardless of the pace of the game.
35,Clemson,Clemson 🔒,6.56243945901853,12.3228967663216,18.8853362253401,-27.1794673738576,5.65295485601266,63,13,65.8058423,334,32,268,45,0.692307692307692,0.192307692307692,0.5,18,5,20,6,#FFDEB6,#FFBB65,#FFCD8F,#8DBECF,#F0E0B6,Clemson plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Clemson performs at a similar level regardless of the pace of the game.
36,Indiana,Indiana,11.9386940781333,6.39219840203747,18.3308924801708,-52.8399712644281,67.037231366212,27,49,67.7756656,245,33,53,35,0.461538461538462,0.423076923076923,0.0384615384615385,12,11,17,9,#FFC47A,#FFDBAF,#FFCE92,#4C79B5,#FC9975,Indiana plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Indiana plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
37,Miami (Fla.),Miami (Fla.),10.2902095300316,7.88045811783545,18.1706676478671,-31.9875644516952,19.5642531218337,42,36,69.5233662,142,34,274,27,0.769230769230769,0.230769230769231,0.538461538461539,20,6,21,5,#FFCC8D,#FFD39D,#FFCF93,#82B1CB,#F2D0A7,Miami (Fla.) plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Miami (Fla.) performs at a similar level regardless of the pace of the game.
38,Texas A&M,Texas A&M,11.778289512236,6.23157113544067,18.0098606476767,-1.47121078888177,0.907816100943876,29,50,72.25827295,22,35,272,43,0.96,0.44,0.52,24,11,17,8,#FFC57C,#FFDCB1,#FFCF94,#F8FBDF,#EFE5BB,Texas A&M performs at a similar level against both good and bad teams.,Texas A&M performs at a similar level regardless of the pace of the game.
39,UCLA,UCLA,10.45231196294,7.437388026128,17.889699989068,-48.3979623862887,-17.6469174830673,40,40,66.51110775,311,36,32,24,0.615384615384615,0.5,0.115384615384615,16,13,17,9,#FFCB8B,#FFD6A2,#FFD094,#5985BA,#D2D8BE,UCLA plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,UCLA performs at a similar level regardless of the pace of the game.
40,Georgia,Georgia 📉,11.4807231196166,6.1092233098269,17.5899464294435,-57.7870989456072,62.4307776094671,32,51,73.0547852,10,37,224,34,1,0.461538461538462,0.538461538461538,26,12,18,8,#FFC67F,#FFDDB3,#FFD096,#3B6DB0,#FB9F79,Georgia plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Georgia plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
41,BYU,BYU 🥶🤕,10.0314614335108,6.9978797091233,17.0293411426341,-28.9879689205763,35.1151419659555,43,43,71.1514889,51,38,35,17,0.541666666666667,0.416666666666667,0.125,13,10,19,6,#FFCD8F,#FFD8A8,#FFD29A,#89B9CE,#F6BE96,BYU plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,BYU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
42,Santa Clara,Santa Clara,11.10440774594,5.43531034642487,16.5397180923649,10.6926355568253,-1.75537330959338,37,59,70.87273405,64,40,246,62,0.703703703703704,0.37037037037037,0.333333333333333,19,10,21,6,#FFC884,#FFE1BB,#FFD39C,#FFD6C2,#ECE5BC,Santa Clara performs at a similar level against both good and bad teams.,Santa Clara performs at a similar level regardless of the pace of the game.
43,Cincinnati,Cincinnati,2.95175336067153,12.9613826809267,15.9131360415982,3.1667790764103,41.7166343381677,119,12,68.626309325,191,42,65,33,0.884615384615385,0.5,0.384615384615385,23,13,14,12,#FFF0DE,#FFB75D,#FFD5A0,#FFF3D7,#F7B68F,Cincinnati performs at a similar level against both good and bad teams.,Cincinnati plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
44,VCU,VCU,9.73964550260679,5.34724921232538,15.0868947149322,18.8477339549249,36.9102337639638,44,63,70.5071904,79,44,158,55,0.518518518518518,0.444444444444444,0.0740740740740741,14,12,21,6,#FFCF93,#FFE1BC,#FFD7A5,#FFB7AB,#F6BC94,VCU plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,VCU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
45,TCU,TCU,5.97034341790174,8.56634422199076,14.5366876398925,38.4032459268929,45.2006299240056,69,31,69.12794212,159,43,82,46,0.615384615384615,0.346153846153846,0.269230769230769,16,9,16,10,#FFE1BC,#FFCF94,#FFD8A8,#EA6E7B,#F8B28C,TCU plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,TCU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
46,Baylor,Baylor 🤕,11.1551241560259,2.96001570302341,14.1151398590493,-90.2167699944149,-52.5096731020909,36,102,69.46762875,145,48,99,41,0.6,0.4,0.2,15,10,12,13,#FFC883,#FFEEDA,#FFDAAB,#00429D,#9ABBC3,Baylor plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Baylor plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
47,Oklahoma,Oklahoma,12.9264251116133,1.13889082631709,14.0653159379304,9.35733036201659,-4.16348148956371,22,145,68.24507,213,45,55,39,0.56,0.32,0.24,14,8,13,12,#FFBF6F,#FFF8F0,#FFDAAB,#FFDBC6,#E8E3BC,Oklahoma performs at a similar level against both good and bad teams.,Oklahoma performs at a similar level regardless of the pace of the game.
48,San Diego State,San Diego State,1.98870898461497,11.6879715113461,13.676680495961,-62.8529221244717,-30.4026998625021,133,17,69.49293795,143,46,273,51,0.727272727272727,0.318181818181818,0.409090909090909,16,7,17,7,#FFF5E8,#FFBE6D,#FFDBAD,#2960AA,#BECEC0,San Diego State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,San Diego State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
49,New Mexico,New Mexico 🤕,6.54643204575907,6.90329650461451,13.4497285503736,-2.81905358866566,-20.0144591870982,64,47,70.64549095,74,57,256,86,0.8,0.16,0.64,20,4,19,6,#FFDEB6,#FFD9A9,#FFDBAF,#F2F8DE,#CED6BE,New Mexico performs at a similar level against both good and bad teams.,New Mexico performs at a similar level regardless of the pace of the game.
50,USC,USC 🤕,5.79365352884908,7.654336026124,13.4479895549731,1.48664977419559,-29.059738498049,75,38,71.0011968,56,61,215,40,0.541666666666667,0.375,0.166666666666667,13,9,17,7,#FFE2BE,#FFD49F,#FFDBAF,#FFF9DB,#C0CFC0,USC performs at a similar level against both good and bad teams.,USC plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
51,Seton Hall,Seton Hall 🔒,1.7200382365094,11.6980063715427,13.4180446080521,29.2085788503379,40.0497059050848,138,16,66.8011465,298,47,240,68,0.64,0.2,0.44,16,5,18,8,#FFF6EB,#FFBE6D,#FFDBAF,#F79191,#F7B891,Seton Hall plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Seton Hall plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
52,Missouri,Missouri,9.39706641162,3.95399556487445,13.3510619764945,-43.911688915445,30.6738771344493,49,81,68.01595105,234,49,182,38,0.6,0.36,0.24,15,9,17,8,#FFD196,#FFE9CD,#FFDCAF,#6491BF,#F5C39B,Missouri plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Missouri plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
53,South Florida,South Florida,8.0627561552724,4.86918861250245,12.9319447677748,11.7780952506659,-3.16195020582849,55,68,72.66377755,16,50,295,49,0.64,0.4,0.24,16,10,17,8,#FFD7A5,#FFE4C2,#FFDDB2,#FFD2BF,#E9E4BC,South Florida performs at a similar level against both good and bad teams.,South Florida performs at a similar level regardless of the pace of the game.
54,Washington,Washington 🤕,6.25649191669105,6.62057573483613,12.8770676515272,-8.11550647754802,7.24225385952297,66,48,68.2093728,216,52,254,37,0.653846153846154,0.307692307692308,0.346153846153846,17,8,13,13,#FFE0B9,#FFDAAC,#FFDDB2,#DBEBDB,#F0DEB4,Washington performs at a similar level against both good and bad teams.,Washington performs at a similar level regardless of the pace of the game.
55,West Virginia,West Virginia,3.88316850097821,8.94939619037773,12.8325646913559,-61.3011910318934,-7.5769111460363,99,28,64.86887695,359,53,48,54,0.8,0.36,0.44,20,9,16,9,#FFEBD4,#FFCD8F,#FFDDB2,#2F64AC,#E2E0BD,West Virginia plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,West Virginia performs at a similar level regardless of the pace of the game.
56,Yale,Yale 👠,12.0097362637656,0.621485565650679,12.6312218294163,18.1721931839245,58.1745532854336,25,156,66.99210425,289,54,195,78,0.545454545454545,0.0909090909090909,0.454545454545454,12,2,18,4,#FFC47A,#FFFBF7,#FFDDB4,#FFBAAD,#FAA37E,Yale plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Yale plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
57,Grand Canyon,Grand Canyon,3.58035889203254,9.04484256482027,12.6252014568528,37.1251532191451,-2.60365032012456,102,26,69.086459285,163,55,259,84,0.64,0.36,0.28,16,9,17,9,#FFEDD7,#FFCD8E,#FFDDB4,#EC737E,#EAE4BC,Grand Canyon plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Grand Canyon performs at a similar level regardless of the pace of the game.
58,Boise State,Boise State 💥,9.10489097489667,3.10953119523517,12.2144221701318,-57.974236128007,17.3140643569046,51,98,67.0543371,283,56,229,82,0.454545454545455,0.590909090909091,-0.136363636363636,10,13,14,9,#FFD29A,#FFEDD8,#FFDEB6,#3A6DB0,#F2D3A9,Boise State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Boise State performs at a similar level regardless of the pace of the game.
59,Belmont,Belmont 👠,9.62348906080621,2.21280199582692,11.8362910566331,54.4501259748833,-14.2125940179611,46,118,70.38877235,85,58,350,76,1.03703703703704,0.481481481481481,0.555555555555556,28,13,23,4,#FFCF94,#FFF2E3,#FFDFB8,#C83658,#D8DBBD,Belmont plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Belmont performs at a similar level regardless of the pace of the game.
60,Virginia Tech,Virginia Tech 🔒,6.37643181414534,5.068127388518,11.4445592026633,34.394622621855,51.7600086116249,65,66,68.1873669,217,60,258,63,0.666666666666667,0.37037037037037,0.296296296296296,18,10,17,10,#FFDFB8,#FFE3C0,#FFE1BB,#EF7D84,#F9AB85,Virginia Tech plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Virginia Tech plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
61,UCF,UCF,9.22642400961343,2.17954767672238,11.4059716863358,-16.1832700726574,13.6878717416675,50,120,70.7108173,69,59,39,64,0.56,0.64,-0.08,14,16,18,7,#FFD198,#FFF3E3,#FFE1BB,#B9D8D6,#F1D7AD,UCF plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,UCF performs at a similar level regardless of the pace of the game.
62,McNeese State,McNeese State 👠,5.79899693882021,5.0408628686494,10.8398598074696,-60.229755804388,11.1437310079661,74,67,67.8911136,243,62,140,59,0.84,0.36,0.48,21,9,20,5,#FFE2BE,#FFE3C0,#FFE2BE,#3267AD,#F1DAB0,McNeese State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,McNeese State performs at a similar level regardless of the pace of the game.
63,Akron,Akron 👠,9.43017865946246,1.151214622876,10.5813932823385,-2.22462262510781,-4.84854056405839,47,144,71.693716,29,63,251,72,0.708333333333333,0.166666666666667,0.541666666666667,17,4,19,5,#FFD096,#FFF8F0,#FFE3C0,#F5F9DE,#E7E3BC,Akron performs at a similar level against both good and bad teams.,Akron performs at a similar level regardless of the pace of the game.
64,Wake Forest,Wake Forest 🤕,6.05050387865452,4.47456875514579,10.5250726338003,-30.0685916822647,0.675360033697655,67,75,69.8323007,118,80,286,65,0.44,0.44,0,11,11,13,12,#FFE1BC,#FFE6C7,#FFE3C0,#86B6CC,#EFE6BB,Wake Forest plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Wake Forest performs at a similar level regardless of the pace of the game.
