rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
18,Clemson,Clemson,11.4055047068826,7.98996207391781,19.3954667808004,87.3049427872213,42.1365975517802,17,28,67.5329183465638,254,238,0.5,0.25,0.25,18,9,24,12,#FFC782,#FFD096,#FFC883,#93003A,#F8AF89,Clemson plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Clemson plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
19,Florida,Florida,13.3036601043822,5.59487706038312,18.8985371647654,81.3462727483823,20.8860382156798,13,63,72.7788247854478,18,19,0.416666666666667,0.222222222222222,0.194444444444444,15,8,24,12,#FFBE6D,#FFDEB5,#FFC986,#93003A,#F3CBA2,Florida plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Florida performs at a similar level regardless of the pace of the game.
20,Texas,Texas,9.29039722214819,9.45006766857676,18.7404648907249,-13.7357741459443,-23.9815656112514,30,22,68.698323123774,171,99,0.823529411764706,0.382352941176471,0.441176470588235,28,13,21,13,#FFD299,#FFC882,#FFCA87,#9FCAD3,#C1CFBF,Texas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Texas plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
21,Wisconsin,Wisconsin,10.5879200313166,6.97214674980011,17.5600667811167,48.8189888605411,-98.2947910838382,25,35,66.5280393240405,309,20,0.444444444444444,0.222222222222222,0.222222222222222,16,8,22,14,#FFCB8B,#FFD6A3,#FFCD8F,#DF5369,#70A6C7,Wisconsin plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Wisconsin plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
22,Mississippi State,Mississippi State,7.06875443310235,10.3219323194296,17.390686752532,22.9001566187701,26.6983240466189,52,14,68.3765685226998,200,159,0.4,0.257142857142857,0.142857142857143,14,9,21,14,#FFDCB1,#FFC377,#FFCE90,#FFAEA4,#F5C39B,Mississippi State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Mississippi State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
23,Kansas,Kansas,7.82220953598657,9.55709382998106,17.3793033659676,-10.1124411675858,12.6239984873601,45,20,69.8041477487241,100,9,0.484848484848485,0.454545454545455,0.0303030303030303,16,15,22,11,#FFD9A9,#FFC781,#FFCE90,#B8D8D6,#F1D6AC,Kansas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Kansas performs at a similar level regardless of the pace of the game.
24,St. John's,St. John's,11.308649442947,5.89732089152671,17.2059703344737,16.8795701724333,-17.3077050567001,19,55,70.1330562321848,86,152,0.818181818181818,0.333333333333333,0.484848484848485,27,11,20,13,#FFC883,#FFDCB1,#FFCE91,#FFC3B4,#CED6BE,St. John's plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,St. John's performs at a similar level regardless of the pace of the game.
25,BYU,BYU,11.4549600607969,5.69092820291818,17.1458882637151,-40.5439165448759,-25.2630219221027,16,61,69.9993908671331,94,12,0.84375,0.3125,0.53125,27,10,23,11,#FFC781,#FFDDB4,#FFCE91,#225BA8,#BFCEC0,BYU plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,BYU plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
26,Saint Mary's,Saint Mary's,7.26040006798245,9.72809857405792,16.9884986420404,-74.380514242143,-20.2485553599968,49,18,63.6975680603678,359,287,0.875,0.28125,0.59375,28,9,25,8,#FFDBAF,#FFC67F,#FFCF92,#00429D,#C8D3BF,Saint Mary's plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Saint Mary's performs at a similar level regardless of the pace of the game.
27,Texas A&M,Texas A&M,10.7063822354975,6.19518226004192,16.9015644955394,30.9683430716007,-21.8719932439618,24,48,67.3089875732696,267,295,0.542857142857143,0.228571428571429,0.314285714285714,19,8,21,15,#FFCB8A,#FFDBAD,#FFCF93,#F79191,#C5D1BF,Texas A&M plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Texas A&M performs at a similar level regardless of the pace of the game.
28,Colorado,Colorado,10.7592779399419,5.94693179532797,16.7062097352698,-28.6288408711933,-41.3116196034982,23,53,68.614445063725,178,35,0.638888888888889,0.388888888888889,0.25,23,14,26,11,#FFCB89,#FFDCB0,#FFCF94,#5F8BBD,#A1BFC2,Colorado plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Colorado plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
29,San Diego State,San Diego State,5.84299385990139,10.8604611820362,16.7034550419376,-10.6994345374554,18.125555903921,74,12,67.3312008697546,266,87,0.657142857142857,0.2,0.457142857142857,23,7,24,11,#FFE2BF,#FFBF70,#FFD094,#B4D6D6,#F3CFA6,San Diego State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,San Diego State performs at a similar level regardless of the pace of the game.
30,Texas Tech,Texas Tech,10.3528848360874,5.94665998727345,16.2995448233609,-12.6237086350245,15.0796814173538,26,54,67.4968184713892,258,90,0.323529411764706,0.617647058823529,-0.294117647058824,11,21,23,11,#FFCD8E,#FFDCB0,#FFD197,#A7CFD4,#F2D3A9,Texas Tech plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Texas Tech performs at a similar level regardless of the pace of the game.
31,Florida Atlantic,Florida Atlantic,11.0706456823101,5.14722327366115,16.2178689559712,33.1705454519268,-4.95393650368477,22,69,69.4200568063779,120,58,0.636363636363636,0.333333333333333,0.303030303030303,21,11,25,9,#FFC986,#FFE1BB,#FFD197,#F48A8C,#E5E2BC,Florida Atlantic plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Florida Atlantic performs at a similar level regardless of the pace of the game.
32,New Mexico,New Mexico,8.07421631529851,8.07566955883529,16.1498858741338,-9.04689188129895,8.26836284468906,38,27,73.1476844816098,15,53,0.6,0.2,0.4,21,7,25,10,#FFD8A6,#FFD094,#FFD198,#C0DCD7,#F0DCB2,New Mexico performs at a similar level against both good and bad teams.,New Mexico performs at a similar level regardless of the pace of the game.
33,Villanova,Villanova,5.8207148946895,9.90714912380064,15.7278640184901,6.7219909374289,-17.9862212786849,75,16,65.1895454657516,343,74,0.696969696969697,0.727272727272727,-0.0303030303030303,23,24,18,16,#FFE2BF,#FFC57C,#FFD29A,#FFE7CE,#CDD5BE,Villanova performs at a similar level against both good and bad teams.,Villanova performs at a similar level regardless of the pace of the game.
34,Northwestern,Northwestern,9.07993777145567,6.47178834603856,15.5517261174942,68.5759853594409,-7.52209656315108,31,41,65.3329058408849,342,45,0.235294117647059,0.470588235294118,-0.235294117647059,8,16,22,12,#FFD39B,#FFD9AA,#FFD39B,#AA1747,#E0DFBD,Northwestern plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Northwestern performs at a similar level regardless of the pace of the game.
35,Wake Forest,Wake Forest,10.277640666644,5.06965490355503,15.3472955701991,23.5836463137555,3.25860400256029,27,73,68.9951534956394,147,11,0.6,0.314285714285714,0.285714285714286,21,11,21,14,#FFCD8E,#FFE1BC,#FFD39D,#FFABA2,#EFE2B8,Wake Forest plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Wake Forest performs at a similar level regardless of the pace of the game.
36,Pittsburgh,Pittsburgh,8.83062035618645,6.4160221946743,15.2466425508607,-37.7135453724142,13.0102597817294,32,44,67.126686006941,277,233,0.575757575757576,0.151515151515152,0.424242424242424,19,5,22,11,#FFD49E,#FFD9AA,#FFD49D,#3166AD,#F2D5AC,Pittsburgh plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Pittsburgh performs at a similar level regardless of the pace of the game.
37,Ohio State,Ohio State,7.99605187599416,7.22278017759631,15.2188320535905,4.9473406978501,23.9228768437382,41,32,67.7563535513569,242,123,0.611111111111111,0.222222222222222,0.388888888888889,22,8,22,14,#FFD8A7,#FFD5A0,#FFD49E,#FFEDD3,#F4C79F,Ohio State performs at a similar level against both good and bad teams.,Ohio State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
38,Cincinnati,Cincinnati,5.56979496621802,9.4860050059968,15.0557999722148,5.15360295878623,38.6543863013198,77,21,68.2526116292599,208,79,0.567567567567568,0.432432432432432,0.135135135135135,21,16,22,15,#FFE4C2,#FFC782,#FFD49F,#FFECD2,#F7B48D,Cincinnati performs at a similar level against both good and bad teams.,Cincinnati plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
39,Dayton,Dayton,9.38753400945378,5.38671221122026,14.774246220674,-6.37729486551426,13.9627130103738,29,67,65.6813684908049,336,142,0.787878787878788,0.393939393939394,0.393939393939394,26,13,25,8,#FFD198,#FFDFB8,#FFD5A0,#D2E6DA,#F2D4AB,Dayton performs at a similar level against both good and bad teams.,Dayton performs at a similar level regardless of the pace of the game.
40,NC State,NC State,8.03278413056293,6.56318279822032,14.5959669287833,80.2193642324439,0.165801714846328,39,40,68.843467262357,159,150,0.384615384615385,0.307692307692308,0.0769230769230769,15,12,26,15,#FFD8A7,#FFD8A8,#FFD5A2,#93003A,#EFE6BB,NC State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,NC State performs at a similar level regardless of the pace of the game.
41,TCU,TCU,7.78255695889219,6.81155248814072,14.5941094470329,-10.0211410736714,21.9816918923451,46,37,70.5282242343524,71,190,0.705882352941177,0.411764705882353,0.294117647058824,24,14,21,13,#FFD9AA,#FFD7A5,#FFD5A2,#B9D9D6,#F4CAA1,TCU plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,TCU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
42,Nebraska,Nebraska,7.95886715184674,6.57808588465268,14.5369530364994,10.1186757671833,-15.5065714052063,43,39,69.7549086036117,103,18,0.676470588235294,0.294117647058824,0.382352941176471,23,10,23,11,#FFD8A8,#FFD8A8,#FFD6A2,#FFDBC5,#D1D8BE,Nebraska performs at a similar level against both good and bad teams.,Nebraska performs at a similar level regardless of the pace of the game.
43,Washington State,Washington State,6.24742773659124,8.07760345136124,14.3250311879525,37.7505510486705,18.9108291160356,68,26,66.2504418102345,319,83,0.6,0.257142857142857,0.342857142857143,21,9,25,10,#FFE0BA,#FFD094,#FFD6A3,#EE7A82,#F3CEA5,Washington State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Washington State performs at a similar level regardless of the pace of the game.
44,Grand Canyon,Grand Canyon,6.32569795727194,7.86548119818647,14.1911791554584,18.7800768817506,-9.19058131434311,66,30,69.6192065202612,115,102,0.735294117647059,0.264705882352941,0.470588235294118,25,9,29,5,#FFE0B9,#FFD197,#FFD7A4,#FFBCAF,#DDDEBD,Grand Canyon plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Grand Canyon performs at a similar level regardless of the pace of the game.
45,Oregon,Oregon,8.29005641723863,5.71668888640558,14.0067453036442,36.3445722559479,-4.14429028304442,35,60,68.4569923888566,191,203,0.444444444444444,0.388888888888889,0.0555555555555555,16,14,24,12,#FFD7A4,#FFDDB3,#FFD7A5,#F07F85,#E7E2BC,Oregon plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Oregon performs at a similar level regardless of the pace of the game.
46,Utah,Utah,6.68978462737954,7.12222587400203,13.8120105013816,-16.7379439812274,-19.536097548611,60,34,71.0332241877199,51,1,0.783783783783784,0.324324324324324,0.459459459459459,29,12,22,15,#FFDEB5,#FFD5A1,#FFD8A7,#8EBFD0,#CAD4BF,Utah plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Utah performs at a similar level regardless of the pace of the game.
47,Indiana State,Indiana State,11.9164874192094,1.71271992108256,13.629207340292,-5.48727737839631,-15.8369590281706,15,130,71.3531195443763,46,47,0.702702702702703,0.189189189189189,0.513513513513514,26,7,31,7,#FFC57C,#FFF5E8,#FFD8A8,#D8EADB,#D1D7BE,Indiana State performs at a similar level against both good and bad teams.,Indiana State performs at a similar level regardless of the pace of the game.
48,Colorado State,Colorado State,6.72638713208275,6.76493101819868,13.4913181502814,40.4121069389153,6.6243958798333,59,38,67.2385839494356,270,43,0.617647058823529,0.323529411764706,0.294117647058824,21,11,23,11,#FFDEB5,#FFD7A6,#FFD9A9,#EB717C,#F0DEB4,Colorado State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Colorado State performs at a similar level regardless of the pace of the game.
49,Iowa,Iowa,12.7799868936567,0.519726712933769,13.2997136065905,-27.7124822558734,12.9114197100776,14,150,72.4704308408849,20,138,0.529411764705882,0.411764705882353,0.117647058823529,18,14,19,15,#FFC173,#FFFBF8,#FFD9AA,#638FBE,#F1D6AC,Iowa plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Iowa performs at a similar level regardless of the pace of the game.
50,Drake,Drake,8.44107045662127,4.79331846251106,13.2343889191323,44.9549272591982,4.36861206159294,33,76,68.640535885293,177,24,0.757575757575758,0.303030303030303,0.454545454545455,25,10,27,7,#FFD6A2,#FFE3C0,#FFD9AA,#E56172,#F0E1B6,Drake plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Drake performs at a similar level regardless of the pace of the game.
51,Nevada,Nevada,6.74445736995418,6.18337735211051,12.9278347220647,-16.3546019121495,-9.5972966985128,57,50,68.110660589663,216,134,0.612903225806452,0.354838709677419,0.258064516129032,19,11,25,8,#FFDEB5,#FFDBAD,#FFDAAC,#8FC0D0,#DCDDBD,Nevada plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Nevada performs at a similar level regardless of the pace of the game.
52,Oklahoma,Oklahoma,6.74339512260128,6.17265588857942,12.9160510111807,-6.56402007317328,5.08744491260328,58,51,68.2636950020538,206,57,0.5,0.15625,0.34375,16,5,20,12,#FFDEB5,#FFDBAD,#FFDAAC,#D1E6DA,#F0E0B5,Oklahoma performs at a similar level against both good and bad teams.,Oklahoma performs at a similar level regardless of the pace of the game.
53,Seton Hall,Seton Hall,5.17860207639992,7.69654194462953,12.8751440210295,-6.25067897084867,23.9825017983578,84,31,67.8481143710613,239,6,0.702702702702703,0.405405405405405,0.297297297297297,26,15,25,12,#FFE6C6,#FFD299,#FFDAAD,#D3E7DA,#F4C79F,Seton Hall performs at a similar level against both good and bad teams.,Seton Hall plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
54,Virginia Tech,Virginia Tech,9.48707139352345,3.21055732371002,12.6976287172335,-4.45284660334222,-49.6823682734936,28,102,68.4030983632357,194,4,0.484848484848485,0.424242424242424,0.0606060606060606,16,14,19,15,#FFD197,#FFECD4,#FFDBAE,#E0EEDB,#91B7C4,Virginia Tech performs at a similar level against both good and bad teams.,Virginia Tech plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
55,Maryland,Maryland,2.92280804836414,9.64477275319829,12.5675808015624,-0.10780009074804,8.43828525430832,118,19,66.8115963410048,294,250,0.484848484848485,0.484848484848485,0,16,16,16,17,#FFF0DF,#FFC780,#FFDBAE,#FEFEDF,#F0DBB1,Maryland performs at a similar level against both good and bad teams.,Maryland performs at a similar level regardless of the pace of the game.
56,Boise State,Boise State,6.76367468490272,5.77427374418084,12.5379484290836,-55.4218821380648,-38.7840169785107,56,58,67.3899620448755,265,118,0.387096774193548,0.193548387096774,0.193548387096774,12,6,20,11,#FFDEB5,#FFDDB3,#FFDBAF,#00429D,#A5C1C2,Boise State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Boise State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
57,Providence,Providence,3.92949764934875,8.57177899986674,12.5012766492155,-3.3440291212202,61.2537340573414,102,23,68.3737476586649,201,296,0.647058823529412,0.470588235294118,0.176470588235294,22,16,21,14,#FFECD4,#FFCD8E,#FFDBAF,#E7F2DC,#FD9672,Providence performs at a similar level against both good and bad teams.,Providence plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
58,Washington,Washington,7.98817063672708,3.71352909481543,11.7016997315425,3.44387642683382,2.25470002179807,42,97,71.7644695515725,33,149,0.53125,0.34375,0.1875,17,11,17,15,#FFD8A7,#FFE9CE,#FFDEB4,#FFF2D7,#EFE4B9,Washington performs at a similar level against both good and bad teams.,Washington performs at a similar level regardless of the pace of the game.
59,Memphis,Memphis,7.15263894551617,4.40089138536368,11.5535303308799,40.4991862743772,-16.6068538721803,51,83,72.448805877532,21,182,0.6875,0.21875,0.46875,22,7,22,10,#FFDCB0,#FFE5C5,#FFDEB5,#EB707C,#CFD6BE,Memphis plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Memphis performs at a similar level regardless of the pace of the game.
60,USC,USC,6.24288114456817,5.20781901209506,11.4507001566632,25.7109054385002,4.19677452451976,69,68,68.8696068440347,156,59,0.454545454545455,0.424242424242424,0.0303030303030303,15,14,15,18,#FFE0BA,#FFE0BA,#FFDEB6,#FEA49D,#EFE1B6,USC plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,USC performs at a similar level regardless of the pace of the game.
61,South Carolina,South Carolina,7.31283864309812,4.07306723940039,11.3859058824985,4.34334548325017,-34.4734467630189,48,89,64.3467518330224,354,211,0.411764705882353,0.382352941176471,0.0294117647058824,14,13,26,8,#FFDBAF,#FFE7C9,#FFDEB6,#FFEFD4,#ADC5C1,South Carolina performs at a similar level against both good and bad teams.,South Carolina plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
62,UCF,UCF,1.5155810968826,9.80608984608209,11.3216709429647,-4.7296036142219,11.3952258639649,142,17,70.0352397619337,91,66,0.606060606060606,0.363636363636364,0.242424242424242,20,12,17,16,#FFF7EE,#FFC67E,#FFDFB6,#DEEDDB,#F1D8AE,UCF performs at a similar level against both good and bad teams.,UCF performs at a similar level regardless of the pace of the game.
63,Xavier,Xavier,5.56515213271455,5.60312565148587,11.1682777842004,-16.1593408569579,-39.7692167764484,78,62,71.8918213659382,28,92,0.441176470588235,0.676470588235294,-0.235294117647059,15,23,16,18,#FFE4C2,#FFDEB5,#FFDFB7,#90C1D1,#A3C0C2,Xavier plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Xavier plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
64,James Madison,James Madison,6.43286029925134,4.71785265391466,11.150712953166,-17.1181773294528,28.3260130319072,63,78,70.4980271914805,73,132,0.911764705882353,0.323529411764706,0.588235294117647,31,11,31,4,#FFDFB8,#FFE3C1,#FFDFB8,#8CBDCF,#F5C199,James Madison plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,James Madison plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
